"","X.1","X","Player","Span","Mat","Inns","NO","Runs","HS","Ave","BF","SR","X100","X50","X0","X4s","X6s","Team","SixPI","FourPI","BoundaryPI","RPI","SixPercent","FourPercent","BoundaryPercent","BallsFacedPI","NOPI"
"580",580,90,"SS Tiwary","2011-2013",46,36,10,578,52,22.23,542,106.64,0,1,1,30,23,"RCB",0.638888888888889,0.833333333333333,1.47222222222222,16.0555555555556,23.8754325259516,20.7612456747405,44.636678200692,15.0555555555556,0.277777777777778
"582",582,92,"RV Uthappa","2009-2010",40,36,5,706,0,22.77,506,139.52,0,5,2,59,36,"RCB",1,1.63888888888889,2.63888888888889,19.6111111111111,30.5949008498584,33.4277620396601,64.0226628895184,14.0555555555556,0.138888888888889
"586",586,96,"R Vinay Kumar","2008-2013",70,31,11,252,0,12.6,218,115.59,0,0,2,16,8,"RCB",0.258064516129032,0.516129032258065,0.774193548387097,8.12903225806452,19.047619047619,25.3968253968254,44.4444444444444,7.03225806451613,0.354838709677419
"616",616,2,"SA Asnodkar","2008-2011",21,21,0,464,60,22.09,379,122.42,0,2,3,59,11,"RR",0.523809523809524,2.80952380952381,3.33333333333333,22.0952380952381,14.2241379310345,50.8620689655172,65.0862068965517,18.047619047619,0
"619",619,5,"STR Binny","2011-2015",63,49,17,698,0,21.81,533,130.95,0,0,5,55,25,"RR",0.510204081632653,1.12244897959184,1.63265306122449,14.2448979591837,21.4899713467049,31.5186246418338,53.0085959885387,10.8775510204082,0.346938775510204
"631",631,17,"R Dravid","2011-2013",52,51,2,1324,66,27.02,1216,108.88,0,7,1,177,11,"RR",0.215686274509804,3.47058823529412,3.68627450980392,25.9607843137255,4.98489425981873,53.4743202416918,58.4592145015106,23.843137254902,0.0392156862745098
"632",632,18,"JP Faulkner","2013-2015",48,35,16,387,46,20.36,269,143.86,0,0,0,25,23,"RR",0.657142857142857,0.714285714285714,1.37142857142857,11.0571428571429,35.6589147286822,25.8397932816538,61.4987080103359,7.68571428571429,0.457142857142857
"639",639,25,"BJ Hodge","2012-2014",38,33,14,748,0,39.36,520,143.84,0,2,0,61,29,"RR",0.878787878787879,1.84848484848485,2.72727272727273,22.6666666666667,23.2620320855615,32.620320855615,55.8823529411765,15.7575757575758,0.424242424242424
"643",643,29,"RA Jadeja","2008-2009",27,22,4,430,42,23.88,369,116.53,0,0,2,32,12,"RR",0.545454545454545,1.45454545454545,2,19.5454545454545,16.7441860465116,29.7674418604651,46.5116279069767,16.7727272727273,0.181818181818182
"656",656,42,"AL Menaria","2011-2013",33,24,3,407,40,19.38,364,111.81,0,0,1,24,18,"RR",0.75,1,1.75,16.9583333333333,26.5356265356265,23.5872235872236,50.1228501228501,15.1666666666667,0.125
"659",659,45,"KK Nair","2014-2015",25,23,2,511,0,24.33,377,135.54,0,4,0,56,14,"RR",0.608695652173913,2.43478260869565,3.04347826086957,22.2173913043478,16.4383561643836,43.8356164383562,60.2739726027397,16.3913043478261,0.0869565217391304
"662",662,48,"NV Ojha","2009-2010",23,23,3,555,0,27.75,434,127.88,0,4,3,53,27,"RR",1.17391304347826,2.30434782608696,3.47826086956522,24.1304347826087,29.1891891891892,38.1981981981982,67.3873873873874,18.8695652173913,0.130434782608696
"667",667,53,"YK Pathan","2008-2010",43,42,4,1011,100,26.6,627,161.24,1,6,1,89,61,"RR",1.45238095238095,2.11904761904762,3.57142857142857,24.0714285714286,36.2017804154303,35.2126607319486,71.4144411473788,14.9285714285714,0.0952380952380952
"671",671,57,"AM Rahane","2011-2015",77,72,10,2335,0,37.66,1935,120.67,1,19,4,245,46,"RR",0.638888888888889,3.40277777777778,4.04166666666667,32.4305555555556,11.8201284796574,41.9700214132762,53.7901498929336,26.875,0.138888888888889
"677",677,63,"SV Samson","2013-2015",44,40,4,941,76,26.13,765,123,0,7,2,82,35,"RR",0.875,2.05,2.925,23.525,22.3166843783209,34.8565356004251,57.173219978746,19.125,0.1
"682",682,68,"GC Smith","2008-2010",25,25,3,697,91,31.68,617,112.96,0,4,2,88,9,"RR",0.36,3.52,3.88,27.88,7.74748923959828,50.5021520803443,58.2496413199426,24.68,0.12
"698",698,84,"SK Warne","2008-2011",56,29,9,198,0,9.9,214,92.52,0,0,7,14,6,"RR",0.206896551724138,0.482758620689655,0.689655172413793,6.82758620689655,18.1818181818182,28.2828282828283,46.4646464646465,7.37931034482759,0.310344827586207
"699",699,85,"SR Watson","2008-2015",84,81,12,2474,0,35.85,1765,140.16,2,14,2,245,114,"RR",1.40740740740741,3.02469135802469,4.4320987654321,30.5432098765432,27.6475343573161,39.6119644300728,67.2594987873888,21.7901234567901,0.148148148148148
