"","X.1","X","Player","Span","Mat","Inns","NO","Runs","HS","Ave","BF","SR","X100","X50","X0","X4s","X6s","Team","SixPI","FourPI","BoundaryPI","RPI","SixPercent","FourPercent","BoundaryPercent","BallsFacedPI","NOPI"
"290",290,61,"WP Saha","2008-2010",33,24,13,298,0,27.09,213,139.9,0,1,1,24,12,"KKR",0.5,1,1.5,12.4166666666667,24.1610738255034,32.2147651006711,56.3758389261745,8.875,0.541666666666667
"298",298,69,"Shakib Al Hasan","2011-2016",48,35,8,542,0,20.07,430,126.04,0,2,2,46,17,"KKR",0.485714285714286,1.31428571428571,1.8,15.4857142857143,18.8191881918819,33.9483394833948,52.7675276752768,12.2857142857143,0.228571428571429
"301",301,72,"LR Shukla","2008-2013",42,31,7,374,0,15.58,312,119.87,0,0,2,31,14,"KKR",0.451612903225806,1,1.45161290322581,12.0645161290323,22.4598930481283,33.1550802139037,55.6149732620321,10.0645161290323,0.225806451612903
"303",303,74,"RN ten Doeschate","2011-2015",41,29,9,485,0,24.25,357,135.85,0,2,4,35,22,"KKR",0.758620689655172,1.20689655172414,1.96551724137931,16.7241379310345,27.2164948453608,28.8659793814433,56.0824742268041,12.3103448275862,0.310344827586207
"304",304,75,"MK Tiwary","2010-2013",64,56,16,1136,0,28.4,1029,110.39,0,4,6,94,26,"KKR",0.464285714285714,1.67857142857143,2.14285714285714,20.2857142857143,13.7323943661972,33.0985915492958,46.830985915493,18.375,0.285714285714286
"307",307,78,"RV Uthappa","2014-2016",49,49,3,1628,0,35.39,1205,135.1,0,10,2,189,36,"KKR",0.73469387755102,3.85714285714286,4.59183673469388,33.2244897959184,13.2678132678133,46.4373464373464,59.7051597051597,24.5918367346939,0.0612244897959184
"310",310,81,"SA Yadav","2014-2016",50,38,15,579,60,25.17,416,139.18,0,1,2,49,24,"KKR",0.631578947368421,1.28947368421053,1.92105263157895,15.2368421052632,24.8704663212435,33.8514680483592,58.7219343696028,10.9473684210526,0.394736842105263
"320",320,8,"GJ Bailey","2014-2015",35,33,10,581,0,25.26,437,132.95,0,2,0,49,17,"KXIP",0.515151515151515,1.48484848484848,2,17.6060606060606,17.5559380378657,33.7349397590361,51.2908777969019,13.2424242424242,0.303030303030303
"330",330,18,"PP Chawla","2008-2013",87,52,21,401,0,12.93,355,112.95,0,0,7,36,12,"KXIP",0.230769230769231,0.692307692307692,0.923076923076923,7.71153846153846,17.9551122194514,35.9102244389027,53.8653366583541,6.82692307692308,0.403846153846154
"337",337,25,"AC Gilchrist","2011-2013",34,34,3,849,106,27.38,667,127.28,1,4,3,103,28,"KXIP",0.823529411764706,3.02941176470588,3.85294117647059,24.9705882352941,19.7879858657244,48.527679623086,68.3156654888104,19.6176470588235,0.0882352941176471
