"","Player","Mat","Inns","NO","Runs","HS","Ave","BF","SR","X100","X50","X0","X4s","X6s","SixPI","FourPI","BoundaryPI","RPI","SixPercent","FourPercent","BoundaryPercent","BallsFacedPI","NOPI"
"44","LMP Simmons",25,25,3,1038,0,47.18,822,126.27,1,10,1,113,37,1.48,4.52,6,41.52,21.3872832369942,43.5452793834297,64.9325626204239,32.88,0.12
"45","LR Shukla",42,31,7,374,0,15.58,312,119.87,0,0,2,31,14,0.451612903225806,1,1.45161290322581,12.0645161290323,22.4598930481283,33.1550802139037,55.6149732620321,10.0645161290323,0.225806451612903
"46","LRPL Taylor",31,30,7,733,0,31.86,493,148.68,0,4,1,57,43,1.43333333333333,1.9,3.33333333333333,24.4333333333333,35.1978171896316,31.1050477489768,66.3028649386085,16.4333333333333,0.233333333333333
"47","M Vijay",108,108,5,2801,216,55.87,2264,244.32,2,15,6,270,99,1.69590361445783,5.40530120481928,7.10120481927711,53.4250602409639,38.5168747561451,80.5644969003338,119.081371656479,43.824578313253,0.0881927710843373
"48","M Vohra",39,37,2,877,67,25.05,666,131.68,0,3,2,92,30,0.810810810810811,2.48648648648649,3.2972972972973,23.7027027027027,20.5245153933865,41.9612314709236,62.4857468643102,18,0.0540540540540541
"49","MA Agarwal",56,51,2,847,68,34.71,675,249.95,0,3,3,81,39,1.45714285714286,3.24285714285714,4.7,33.3047619047619,52.7378907591893,77.7762510019466,130.514141761136,26.6857142857143,0.0809523809523809
"50","Mandeep Singh",41,38,2,763,0,21.19,632,120.72,0,3,4,95,8,0.210526315789474,2.5,2.71052631578947,20.0789473684211,6.29095674967235,49.8034076015727,56.0943643512451,16.6315789473684,0.0526315789473684
"51","MEK Hussey",64,63,9,2213,0,40.98,1802,122.8,1,17,1,230,52,0.825396825396825,3.65079365079365,4.47619047619048,35.1269841269841,14.098508811568,41.5725259828287,55.6710347943967,28.6031746031746,0.142857142857143
"52","MK Pandey",70,67,13,1615,94,60.66,1304,245.95,1,6,6,152,48,1.38142292490119,4.74110671936759,6.12252964426878,48.5118577075099,34.2656097208547,78.0020632621721,112.267672983027,39.4930830039526,0.399209486166008
"53","MK Tiwary",91,78,24,1491,0,53.75,1342,223.8,0,5,8,134,31,0.691558441558442,3.49675324675325,4.18831168831169,36.4220779220779,22.1830985915493,78.169014084507,100.352112676056,32.6022727272727,0.649350649350649
"54","ML Hayden",34,34,2,1117,93,34.9,824,135.55,0,8,2,122,44,1.29411764705882,3.58823529411765,4.88235294117647,32.8529411764706,23.6347358997314,43.6884512085945,67.3231871083259,24.2352941176471,0.0588235294117647
"55","MS Bisla",38,37,1,719,92,19.97,628,114.49,0,3,2,83,23,0.621621621621622,2.24324324324324,2.86486486486486,19.4324324324324,19.1933240611961,46.1752433936022,65.3685674547983,16.972972972973,0.027027027027027
"56","MS Dhoni",153,139,48,3435,0,37.74,2462,139.52,0,16,5,246,152,1.09352517985612,1.76978417266187,2.86330935251799,24.7122302158273,26.5502183406114,28.646288209607,55.1965065502183,17.7122302158273,0.345323741007194
"57","MV Boucher",31,22,8,393,0,28.07,315,124.76,0,1,0,32,13,0.590909090909091,1.45454545454545,2.04545454545455,17.8636363636364,19.8473282442748,32.5699745547074,52.4173027989822,14.3181818181818,0.363636363636364
"58","NV Ojha",61,58,10,992,0,43.35,846,233.94,0,5,6,87,52,1.88819875776398,3.27577639751553,5.1639751552795,36.616149068323,63.5141319809512,69.3194796627291,132.83361164368,30.6409937888199,0.330434782608696
"59","P Kumar",91,47,16,311,58,19.71,266,230.68,0,0,7,19,19,0.776556776556776,0.794871794871795,1.57142857142857,12.959706959707,69.1070941956581,49.4504496321192,118.557543827777,11.1465201465201,0.697802197802198
"60","PA Patel",50,50,3,1032,138,43.93,900,232.42,0,6,7,137,16,0.644230769230769,5.49358974358974,6.13782051282051,41.3461538461538,18.6046511627907,106.201550387597,124.806201550388,35.8910256410256,0.118589743589744
"61","PC Valthaty",21,21,1,499,0,24.95,406,122.9,1,2,1,59,20,0.952380952380952,2.80952380952381,3.76190476190476,23.7619047619048,24.0480961923848,47.2945891783567,71.3426853707415,19.3333333333333,0.0476190476190476
