"","X.1","X","Player","Span","Mat","Inns","NO","Runs","HS","Ave","BF","SR","X100","X50","X0","X4s","X6s","Team"
"74",74,16,"AC Gilchrist","2008-2010",48,"48","1","1289","109*","27.42","872","147.82","1","8","4","144","67","DC"
"75",75,17,"MS Gony","2011-2012",9,"3","1","4","4","2.00","10","40.00","0","0","1","0","0","DC"
"76",76,18,"Harmeet Singh","2009-2011",18,"4","2","0","0*","0.00","1","0.00","0","0","2","0","0","DC"
"77",77,19,"DJ Harris","2012-2012",4,"4","0","111","47","27.75","101","109.90","0","0","0","11","5","DC"
"78",78,20,"RJ Harris","2009-2010",16,"10","5","66","15","13.20","57","115.78","0","0","0","2","2","DC"
"79",79,21,"IR Jaggi","2011-2012",5,"5","1","43","25","10.75","58","74.13","0","0","0","3","0","DC"
"80",80,22,"Jaskaran Singh","2009-2010",8,"5","4","8","4*","8.00","11","72.72","0","0","0","0","0","DC"
"81",81,23,"AA Jhunjhunwala","2012-2012",5,"3","1","24","19","12.00","26","92.30","0","0","0","1","1","DC"
"82",82,24,"D Kalyankrishna","2008-2008",3,"1","0","3","3","3.00","8","37.50","0","0","0","0","0","DC"
"83",83,25,"VVS Laxman","2008-2010",19,"19","2","288","52","16.94","266","108.27","0","1","3","38","3","DC"
"84",84,26,"MJ Lumb","2011-2011",1,"1","0","0","0","0.00","2","0.00","0","0","1","0","0","DC"
"85",85,27,"CA Lynn","2012-2012",1,"1","0","6","6","6.00","9","66.66","0","0","0","1","0","DC"
"86",86,28,"I Malhotra","2011-2011",1,"1","1","7","7*","-","4","175.00","0","0","0","1","0","DC"
"87",87,29,"MR Marsh","2010-2010",3,"2","0","28","15","14.00","30","93.33","0","0","0","1","1","DC"
"88",88,30,"A Mishra","2011-2012",28,"14","7","84","25*","12.00","69","121.73","0","0","4","10","1","DC"
"89",89,31,"MD Mishra","2010-2010",11,"11","0","166","41","15.09","144","115.27","0","0","1","18","6","DC"
"90",90,32,"T Mishra","2012-2012",1,"-","-","-","-","-","-","-","-","-","-","-","-","DC"
"91",91,33,"PP Ojha","2008-2011",56,"16","7","7","2","0.77","20","35.00","0","0","5","0","0","DC"
"92",92,34,"PA Patel","2012-2012",14,"13","2","194","45","17.63","165","117.57","0","0","1","19","4","DC"
"93",93,35,"V Pratap Singh","2012-2012",9,"1","0","0","0","0.00","1","0.00","0","0","1","0","0","DC"
"94",94,36,"DB Ravi Teja","2008-2012",30,"23","5","361","60","20.05","300","120.33","0","1","1","35","9","DC"
"95",95,37,"PA Reddy","2012-2012",5,"4","1","73","42","24.33","59","123.72","0","0","0","6","2","DC"
"96",96,38,"KAJ Roach","2010-2010",2,"1","0","10","10","10.00","9","111.11","0","0","0","1","0","DC"
"97",97,39,"BB Samantray","2012-2012",1,"1","1","2","2*","-","2","100.00","0","0","0","0","0","DC"
"98",98,40,"KC Sangakkara","2011-2012",25,"25","1","558","82","23.25","477","116.98","0","2","2","65","9","DC"
"99",99,41,"PM Sarvesh Kumar","2008-2008",2,"1","1","1","1*","-","2","50.00","0","0","0","0","0","DC"
"100",100,42,"Shahid Afridi","2008-2008",10,"9","1","81","33","10.12","46","176.08","0","0","1","7","6","DC"
"101",101,43,"I Sharma","2011-2011",12,"5","5","4","1*","-","5","80.00","0","0","0","0","0","DC"
"102",102,44,"R Sharma","2010-2010",6,"4","1","29","14*","9.66","26","111.53","0","0","1","3","1","DC"
"103",103,45,"RG Sharma","2008-2010",47,"46","6","1219","76*","30.47","935","130.37","0","8","2","102","51","DC"
"104",104,46,"Shoaib Ahmed","2009-2009",8,"3","1","1","1*","0.50","6","16.66","0","0","2","0","0","DC"
"105",105,47,"LPC Silva","2008-2008",3,"3","1","40","23*","20.00","26","153.84","0","0","1","5","1","DC"
"106",106,48,"RP Singh","2008-2010",44,"22","10","51","10","4.25","69","73.91","0","0","2","2","1","DC"
"107",107,49,"DR Smith","2009-2010",11,"11","1","237","49","23.70","157","150.95","0","0","0","13","16","DC"
"108",108,50,"S Sohal","2011-2011",11,"10","0","249","62","24.90","191","130.36","0","2","1","25","10","DC"
"109",109,51,"DW Steyn","2011-2012",24,"11","2","55","13","6.11","56","98.21","0","0","0","3","1","DC"
"110",110,52,"SB Styris","2008-2009",12,"11","2","153","36*","17.00","161","95.03","0","0","0","10","4","DC"
"111",111,53,"TP Sudhindra","2012-2012",3,"1","1","0","0*","-","0","-","0","0","0","0","0","DC"
"112",112,54,"TL Suman","2009-2010",28,"28","8","559","78*","27.95","463","120.73","0","2","2","43","20","DC"
"113",113,55,"B Sumanth","2010-2010",5,"4","3","35","16","35.00","37","94.59","0","0","0","3","0","DC"
"114",114,56,"A Symonds","2008-2010",30,"29","4","849","117*","33.96","625","135.84","1","5","0","66","38","DC"
"115",115,57,"J Theron","2012-2012",2,"1","1","7","7*","-","6","116.66","0","0","0","1","0","DC"
"116",116,58,"WPUJC Vaas","2008-2010",13,"11","3","81","20","10.12","73","110.95","0","0","3","2","3","DC"
"117",117,59,"Y Venugopal Rao","2008-2010",35,"30","5","498","71*","19.92","398","125.12","0","2","2","34","23","DC"
"118",118,60,"DP Vijaykumar","2008-2008",9,"2","2","1","1*","-","1","100.00","0","0","0","0","0","DC"
"119",119,61,"CL White","2011-2012",19,"19","4","583","78","38.86","429","135.89","0","5","1","47","22","DC"
"120",120,62,"AS Yadav","2008-2008",8,"6","1","49","16","9.80","39","125.64","0","0","1","5","2","DC"
"121",121,63,"DNT Zoysa","2008-2008",3,"2","1","11","10*","11.00","9","122.22","0","0","0","1","0","DC"
"122",122,1,"S Ladda","2010-2010",5,"2","1","0","0*","0.00","9","0.00","0","0","1","0","0","DD"
"123",123,2,"VR Aaron","2011-2012",12,"3","1","1","1","0.50","8","12.50","0","0","1","0","0","DD"
