"","Team 1","Team 2","Winner","Margin","Ground","Match Date","Scorecard"
"166","Sunrisers","RCB","Sunrisers","7 wickets","Hyderabad (Deccan)","May 20, 2014","T20"
"167","KKR","Super Kings","KKR","8 wickets","Kolkata","May 20, 2014","T20"
"168","Kings XI","Mum Indians","Mum Indians","7 wickets","Mohali","May 21, 2014","T20"
"169","KKR","RCB","KKR","30 runs","Kolkata","May 22, 2014","T20"
"170","Super Kings","Sunrisers","Sunrisers","6 wickets","Ranchi","May 22, 2014","T20"
"171","Mum Indians","Daredevils","Mum Indians","15 runs","Mumbai","May 23, 2014","T20"
"172","Kings XI","Royals","Kings XI","16 runs","Mohali","May 23, 2014","T20"
"173","RCB","Super Kings","Super Kings","8 wickets","Bangalore","May 24, 2014","T20"
"174","KKR","Sunrisers","KKR","4 wickets","Kolkata","May 24, 2014","T20"
"175","Kings XI","Daredevils","Kings XI","7 wickets","Mohali","May 25, 2014","T20"
"176","Mum Indians","Royals","Mum Indians","5 wickets","Mumbai","May 25, 2014","T20"
"177","Kings XI","KKR","KKR","28 runs","Kolkata","May 27-28, 2014","T20"
"178","Super Kings","Mum Indians","Super Kings","7 wickets","Mumbai (BS)","May 28, 2014","T20"
"179","Super Kings","Kings XI","Kings XI","24 runs","Mumbai","May 30, 2014","T20"
"180","KKR","Kings XI","KKR","3 wickets","Bangalore","Jun 1, 2014","T20"
"181","KKR","Daredevils","KKR","6 wickets","Kolkata","Apr 3, 2013","T20"
"182","RCB","Mum Indians","RCB","2 runs","Bangalore","Apr 4, 2013","T20"
"183","Sunrisers","Warriors","Sunrisers","22 runs","Hyderabad (Deccan)","Apr 5, 2013","T20"
"184","Daredevils","Royals","Royals","5 runs","Delhi","Apr 6, 2013","T20"
"185","Super Kings","Mum Indians","Mum Indians","9 runs","Chennai","Apr 6, 2013","T20"
"186","Warriors","Kings XI","Kings XI","8 wickets","Pune","Apr 7, 2013","T20"
"187","Sunrisers","RCB","tied","","Hyderabad (Deccan)","Apr 7, 2013","T20"
"188","Royals","KKR","Royals","19 runs","Jaipur","Apr 8, 2013","T20"
"189","RCB","Sunrisers","RCB","7 wickets","Bangalore","Apr 9, 2013","T20"
"190","Mum Indians","Daredevils","Mum Indians","44 runs","Mumbai","Apr 9, 2013","T20"
"191","Kings XI","Super Kings","Super Kings","10 wickets","Mohali","Apr 10, 2013","T20"
"192","RCB","KKR","RCB","8 wickets","Bangalore","Apr 11, 2013","T20"
"193","Warriors","Royals","Warriors","7 wickets","Pune","Apr 11, 2013","T20"
"194","Daredevils","Sunrisers","Sunrisers","3 wickets","Delhi","Apr 12, 2013","T20"
"195","Mum Indians","Warriors","Mum Indians","41 runs","Mumbai","Apr 13, 2013","T20"
"196","Super Kings","RCB","Super Kings","4 wickets","Chennai","Apr 13, 2013","T20"
"197","KKR","Sunrisers","KKR","48 runs","Kolkata","Apr 14, 2013","T20"
"198","Royals","Kings XI","Royals","6 wickets","Jaipur","Apr 14, 2013","T20"
"199","Super Kings","Warriors","Warriors","24 runs","Chennai","Apr 15, 2013","T20"
"200","Kings XI","KKR","Kings XI","4 runs","Mohali","Apr 16, 2013","T20"
"201","RCB","Daredevils","tied","","Bangalore","Apr 16, 2013","T20"
"202","Warriors","Sunrisers","Sunrisers","11 runs","Pune","Apr 17, 2013","T20"
"203","Royals","Mum Indians","Royals","87 runs","Jaipur","Apr 17, 2013","T20"
"204","Daredevils","Super Kings","Super Kings","86 runs","Delhi","Apr 18, 2013","T20"
"205","Sunrisers","Kings XI","Sunrisers","5 wickets","Hyderabad (Deccan)","Apr 19, 2013","T20"
"206","KKR","Super Kings","Super Kings","4 wickets","Kolkata","Apr 20, 2013","T20"
"207","RCB","Royals","RCB","7 wickets","Bangalore","Apr 20, 2013","T20"
"208","Daredevils","Mum Indians","Daredevils","9 wickets","Delhi","Apr 21, 2013","T20"
"209","Kings XI","Warriors","Kings XI","7 wickets","Mohali","Apr 21, 2013","T20"
"210","Super Kings","Royals","Super Kings","5 wickets","Chennai","Apr 22, 2013","T20"
"211","RCB","Warriors","RCB","130 runs","Bangalore","Apr 23, 2013","T20"
"212","Daredevils","Kings XI","Kings XI","5 wickets","Delhi","Apr 23, 2013","T20"
"213","KKR","Mum Indians","Mum Indians","5 wickets","Kolkata","Apr 24, 2013","T20"
"214","Super Kings","Sunrisers","Super Kings","5 wickets","Chennai","Apr 25, 2013","T20"
"215","KKR","Kings XI","KKR","6 wickets","Kolkata","Apr 26, 2013","T20"
"216","Royals","Sunrisers","Royals","8 wickets","Jaipur","Apr 27, 2013","T20"
"217","Mum Indians","RCB","Mum Indians","58 runs","Mumbai","Apr 27, 2013","T20"
"218","Super Kings","KKR","Super Kings","14 runs","Chennai","Apr 28, 2013","T20"
"219","Daredevils","Warriors","Daredevils","15 runs","Raipur","Apr 28, 2013","T20"
"220","Royals","RCB","Royals","4 wickets","Jaipur","Apr 29, 2013","T20"
"221","Mum Indians","Kings XI","Mum Indians","4 runs","Mumbai","Apr 29, 2013","T20"
"222","Warriors","Super Kings","Super Kings","37 runs","Pune","Apr 30, 2013","T20"
"223","Sunrisers","Mum Indians","Sunrisers","7 wickets","Hyderabad (Deccan)","May 1, 2013","T20"
"224","Daredevils","KKR","Daredevils","7 wickets","Raipur","May 1, 2013","T20"
"225","Super Kings","Kings XI","Super Kings","15 runs","Chennai","May 2, 2013","T20"
"226","Warriors","RCB","RCB","17 runs","Pune","May 2, 2013","T20"
"227","KKR","Royals","KKR","8 wickets","Kolkata","May 3, 2013","T20"
"228","Sunrisers","Daredevils","Sunrisers","6 wickets","Hyderabad (Deccan)","May 4, 2013","T20"
"229","Mum Indians","Super Kings","Mum Indians","60 runs","Mumbai","May 5, 2013","T20"
"230","Royals","Warriors","Royals","5 wickets","Jaipur","May 5, 2013","T20"
"231","Kings XI","RCB","Kings XI","6 wickets","Mohali","May 6, 2013","T20"
"232","Royals","Daredevils","Royals","9 wickets","Jaipur","May 7, 2013","T20"
"233","Mum Indians","KKR","Mum Indians","65 runs","Mumbai","May 7, 2013","T20"
"234","Sunrisers","Super Kings","Super Kings","77 runs","Hyderabad (Deccan)","May 8, 2013","T20"
"235","Kings XI","Royals","Royals","8 wickets","Mohali","May 9, 2013","T20"
"236","Warriors","KKR","KKR","46 runs","Pune","May 9, 2013","T20"
"237","Daredevils","RCB","RCB","4 runs","Delhi","May 10, 2013","T20"
"238","Warriors","Mum Indians","Mum Indians","5 wickets","Pune","May 11, 2013","T20"
"239","Kings XI","Sunrisers","Sunrisers","30 runs","Mohali","May 11, 2013","T20"
"240","KKR","RCB","KKR","5 wickets","Ranchi","May 12, 2013","T20"
"241","Royals","Super Kings","Royals","5 wickets","Jaipur","May 12, 2013","T20"
"242","Mum Indians","Sunrisers","Mum Indians","7 wickets","Mumbai","May 13, 2013","T20"
"243","RCB","Kings XI","Kings XI","7 wickets","Bangalore","May 14, 2013","T20"
"244","Super Kings","Daredevils","Super Kings","33 runs","Chennai","May 14, 2013","T20"
"245","KKR","Warriors","Warriors","7 runs","Ranchi","May 15, 2013","T20"
"246","Mum Indians","Royals","Mum Indians","14 runs","Mumbai","May 15, 2013","T20"
"247","Kings XI","Daredevils","Kings XI","7 runs","Dharamsala","May 16, 2013","T20"
"248","Sunrisers","Royals","Sunrisers","23 runs","Hyderabad (Deccan)","May 17, 2013","T20"
"249","Kings XI","Mum Indians","Kings XI","50 runs","Dharamsala","May 18, 2013","T20"
"250","RCB","Super Kings","RCB","24 runs","Bangalore","May 18, 2013","T20"
"251","Warriors","Daredevils","Warriors","38 runs","Pune","May 19, 2013","T20"
"252","Sunrisers","KKR","Sunrisers","5 wickets","Hyderabad (Deccan)","May 19, 2013","T20"
"253","Super Kings","Mum Indians","Super Kings","48 runs","Delhi","May 21, 2013","T20"
"254","Royals","Sunrisers","Royals","4 wickets","Delhi","May 22, 2013","T20"
"255","Mum Indians","Royals","Mum Indians","4 wickets","Kolkata","May 24, 2013","T20"
"256","Super Kings","Mum Indians","Mum Indians","23 runs","Kolkata","May 26, 2013","T20"
"257","Super Kings","Mum Indians","Mum Indians","8 wickets","Chennai","Apr 4, 2012","T20"
"258","KKR","Daredevils","Daredevils","8 wickets","Kolkata","Apr 5, 2012","T20"
"259","Mum Indians","Warriors","Warriors","28 runs","Mumbai","Apr 6, 2012","T20"
"260","Royals","Kings XI","Royals","31 runs","Jaipur","Apr 6, 2012","T20"
"261","RCB","Daredevils","RCB","20 runs","Bangalore","Apr 7, 2012","T20"
"262","Chargers","Super Kings","Super Kings","74 runs","Visakhapatnam","Apr 7, 2012","T20"
"263","Royals","KKR","Royals","22 runs","Jaipur","Apr 8, 2012","T20"
"264","Warriors","Kings XI","Warriors","22 runs","Pune","Apr 8, 2012","T20"
"265","Chargers","Mum Indians","Mum Indians","5 wickets","Visakhapatnam","Apr 9, 2012","T20"
"266","RCB","KKR","KKR","42 runs","Bangalore","Apr 10, 2012","T20"
"267","Daredevils","Super Kings","Daredevils","8 wickets","Delhi","Apr 10, 2012","T20"
"268","Mum Indians","Royals","Mum Indians","27 runs","Mumbai","Apr 11, 2012","T20"
"269","Super Kings","RCB","Super Kings","5 wickets","Chennai","Apr 12, 2012","T20"
"270","Kings XI","Warriors","Kings XI","7 wickets","Mohali","Apr 12, 2012","T20"
"271","KKR","Royals","KKR","5 wickets","Kolkata","Apr 13, 2012","T20"
