"","Player","Mat","Inns","NO","Runs","HS","Ave","BF","SR","X100s","X50s","X0s","X4s","X6s","SixPI","FourPI","BoundaryPI","RPI","SixPercent","FourPercent","BoundaryPercent","BallsFacedPI","NewAve"
"123","SV Samson",14,14,3,291,60,26.45,259,112.35,0,1,0,20,8,0.571428571428571,1.42857142857143,2,20.7857142857143,16.4948453608247,27.4914089347079,43.9862542955326,18.5,20.7857142857143
"128","Shakib Al Hasan",10,7,2,114,66,22.8,106,107.54,0,1,0,7,5,0.714285714285714,1,1.71428571428571,16.2857142857143,26.3157894736842,24.5614035087719,50.8771929824561,15.1428571428571,16.2857142857143
"132","RG Sharma",14,14,3,489,85,44.45,368,132.88,0,5,1,49,16,1.14285714285714,3.5,4.64285714285714,34.9285714285714,19.6319018404908,40.081799591002,59.7137014314928,26.2857142857143,34.9285714285714
"135","DR Smith",12,12,1,324,73,29.45,221,146.6,0,3,1,35,16,1.33333333333333,2.91666666666667,4.25,27,29.6296296296296,43.2098765432099,72.8395061728395,18.4166666666667,27
"136","SPD Smith",8,7,1,270,101,45,176,153.4,1,0,0,27,8,1.14285714285714,3.85714285714286,5,38.5714285714286,17.7777777777778,40,57.7777777777778,25.1428571428571,38.5714285714286
"140","MP Stoinis",7,5,1,146,52,36.5,108,135.18,0,1,1,13,4,0.8,2.6,3.4,29.2,16.4383561643836,35.6164383561644,52.054794520548,21.6,29.2
"145","SS Tiwary",10,8,1,170,57,24.28,141,120.56,0,2,0,17,4,0.5,2.125,2.625,21.25,14.1176470588235,40,54.1176470588235,17.625,21.25
"147","RV Uthappa",15,15,0,394,72,26.26,289,136.33,0,3,1,45,8,0.533333333333333,3,3.53333333333333,26.2666666666667,12.1827411167513,45.6852791878173,57.8680203045685,19.2666666666667,26.2666666666667
"148","M Vijay",14,14,1,453,89,34.84,364,124.45,0,5,0,50,10,0.714285714285714,3.57142857142857,4.28571428571429,32.3571428571429,13.2450331125828,44.150110375276,57.3951434878587,26,32.3571428571429
"150","M Vohra",7,7,0,161,51,23,131,122.9,0,1,1,19,3,0.428571428571429,2.71428571428571,3.14285714285714,23,11.1801242236025,47.2049689440994,58.3850931677019,18.7142857142857,23
"151","DA Warner",17,17,3,848,93,60.57,560,151.42,0,9,1,88,31,1.82352941176471,5.17647058823529,7,49.8823529411765,21.9339622641509,41.5094339622642,63.4433962264151,32.9411764705882,49.8823529411765
"152","SR Watson",16,15,2,179,36,13.76,134,133.58,0,0,1,14,12,0.8,0.933333333333333,1.73333333333333,11.9333333333333,40.2234636871508,31.2849162011173,71.5083798882682,8.93333333333333,11.9333333333333
"154","KS Williamson",6,6,0,124,50,20.66,122,101.63,0,1,0,14,0,0,2.33333333333333,2.33333333333333,20.6666666666667,0,45.1612903225806,45.1612903225806,20.3333333333333,20.6666666666667
"156","SA Yadav",15,11,4,182,60,26,143,127.27,0,1,0,18,5,0.454545454545455,1.63636363636364,2.09090909090909,16.5454545454545,16.4835164835165,39.5604395604396,56.043956043956,13,16.5454545454545
"158","Yuvraj Singh",10,10,1,236,44,26.22,179,131.84,0,0,0,22,13,1.3,2.2,3.5,23.6,33.0508474576271,37.2881355932203,70.3389830508475,17.9,23.6
